seed,model,seconds
67,Dense AE,41.687971353530884
67,Isolation Forest,3.7252824306488037
67,One-Class SVM,2.8786237239837646
67,LSTM AE,221.32186722755432
67,Hybrid AE,76.81013464927673
68,Dense AE,48.62549018859863
68,Isolation Forest,4.195962429046631
68,One-Class SVM,3.1268413066864014
68,LSTM AE,231.91635131835938
68,Hybrid AE,78.1568489074707
69,Dense AE,43.927513122558594
69,Isolation Forest,4.122063875198364
69,One-Class SVM,2.9685311317443848
69,LSTM AE,193.77075386047363
69,Hybrid AE,81.66730523109436
70,Dense AE,56.368323802948
70,Isolation Forest,3.803971529006958
70,One-Class SVM,2.809741973876953
70,LSTM AE,187.8528335094452
70,Hybrid AE,65.67397856712341
71,Dense AE,69.99538087844849
71,Isolation Forest,3.6729886531829834
71,One-Class SVM,2.6064653396606445
71,LSTM AE,183.8931040763855
71,Hybrid AE,84.51451182365417
72,Dense AE,38.34969615936279
72,Isolation Forest,3.9683845043182373
72,One-Class SVM,2.5872092247009277
72,LSTM AE,180.221914768219
72,Hybrid AE,70.74304962158203
73,Dense AE,109.5752489566803
73,Isolation Forest,3.568406581878662
73,One-Class SVM,2.5155744552612305
73,LSTM AE,182.17813110351562
73,Hybrid AE,59.57038998603821
74,Dense AE,60.286641359329224
74,Isolation Forest,3.4810750484466553
74,One-Class SVM,2.537719488143921
74,LSTM AE,182.79577088356018
74,Hybrid AE,65.33867645263672
75,Dense AE,45.636900186538696
75,Isolation Forest,3.563326597213745
75,One-Class SVM,2.6585190296173096
75,LSTM AE,185.17733573913574
75,Hybrid AE,75.56925129890442
76,Dense AE,53.192304849624634
76,Isolation Forest,3.5456106662750244
76,One-Class SVM,2.490055799484253
76,LSTM AE,183.28134751319885
76,Hybrid AE,75.38373446464539
